"div","u","v","p","dx","dy","T","phase","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0012758,-0.19886,-14.401,-368.26,-1.875e-07,-3.258e-05,213.77,0,1,0.83004,0.5,0.82999,0
0.0010976,-0.25751,-13.798,-359.23,-1.7534e-07,-3.047e-05,199.75,0,1,0.84004,0.5,0.83999,0
0.00092009,-0.31621,-13.194,-350.22,-1.6318e-07,-2.8361e-05,185.74,0,1,0.85004,0.5,0.84999,0
0.0010547,-0.39796,-12.521,-345.05,-1.5154e-07,-2.634e-05,173.08,0,1,0.86004,0.5,0.85999,0
0.0011892,-0.47971,-11.849,-339.88,-1.399e-07,-2.432e-05,160.42,0,1,0.87004,0.5,0.86999,0
0.0011984,-0.58504,-11.135,-334.71,-1.2848e-07,-2.2336e-05,148.28,0,1,0.88004,0.5,0.87999,0
0.0010831,-0.71376,-10.379,-329.54,-1.1726e-07,-2.0387e-05,136.65,0,1,0.89004,0.5,0.89,0
0.00096808,-0.84255,-9.6234,-324.38,-1.0605e-07,-1.8439e-05,125.02,0,1,0.90004,0.5,0.9,0
0.0010561,-1.0125,-8.7536,-322.91,-9.516e-08,-1.6547e-05,114.12,0,1,0.91004,0.5,0.91,0
0.0011442,-1.1825,-7.8839,-321.45,-8.4274e-08,-1.4655e-05,103.22,0,1,0.92004,0.5,0.92,0
0.0011598,-1.345,-6.9235,-319.98,-7.351e-08,-1.2784e-05,92.561,0,1,0.93004,0.5,0.93,0
0.0011034,-1.5001,-5.8727,-318.52,-6.2866e-08,-1.0933e-05,82.147,0,1,0.94004,0.5,0.94,0
0.0010471,-1.655,-4.8218,-317.06,-5.2223e-08,-9.0827e-06,71.733,0,1,0.95004,0.5,0.95,0
0.0010909,-1.5894,-3.5858,-327.78,-4.1739e-08,-7.2594e-06,61.452,0,1,0.96004,0.5,0.96,0
0.0011346,-1.5237,-2.3498,-338.49,-3.1255e-08,-5.4361e-06,51.172,0,1,0.97004,0.5,0.97,0
0.0011565,-1.1925,-1.3856,-349.2,-2.081e-08,-3.6195e-06,40.825,0,1,0.98004,0.5,0.98,0
0.0011565,-0.59627,-0.69281,-359.92,-1.0405e-08,-1.8098e-06,30.413,0,1,0.99004,0.5,0.99,0
0.0011565,-5.9587e-15,-6.9235e-15,-370.63,-1.0398e-22,-1.8086e-20,20,0,1,1,0.5,1,0
