"N","min(C)","q1(C)","med(C)","q3(C)","max(C)","avg(C)","std(C)","min(Volume)","q1(Volume)","med(Volume)","q3(Volume)","max(Volume)","avg(Volume)","std(Volume)","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0.025484,0.025484,0.025484,0.025484,0.025484,0.025484,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.055
1,0.02541,0.02541,0.02541,0.02541,0.02541,0.02541,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.056
1,0.025338,0.025338,0.025338,0.025338,0.025338,0.025338,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.057
1,0.02527,0.02527,0.02527,0.02527,0.02527,0.02527,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.058
1,0.025207,0.025207,0.025207,0.025207,0.025207,0.025207,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.059
1,0.025148,0.025148,0.025148,0.025148,0.025148,0.025148,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.06
1,0.025094,0.025094,0.025094,0.025094,0.025094,0.025094,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.061
1,0.025045,0.025045,0.025045,0.025045,0.025045,0.025045,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.062
1,0.025001,0.025001,0.025001,0.025001,0.025001,0.025001,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.063
1,0.024963,0.024963,0.024963,0.024963,0.024963,0.024963,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.064
1,0.024928,0.024928,0.024928,0.024928,0.024928,0.024928,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.065
1,0.024896,0.024896,0.024896,0.024896,0.024896,0.024896,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.066
1,0.024866,0.024866,0.024866,0.024866,0.024866,0.024866,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.067
1,0.024835,0.024835,0.024835,0.024835,0.024835,0.024835,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.068
1,0.024805,0.024805,0.024805,0.024805,0.024805,0.024805,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.069
1,0.024775,0.024775,0.024775,0.024775,0.024775,0.024775,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.07
1,0.024745,0.024745,0.024745,0.024745,0.024745,0.024745,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.071
1,0.024717,0.024717,0.024717,0.024717,0.024717,0.024717,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.072
1,0.024692,0.024692,0.024692,0.024692,0.024692,0.024692,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.073
1,0.02467,0.02467,0.02467,0.02467,0.02467,0.02467,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.074
1,0.024652,0.024652,0.024652,0.024652,0.024652,0.024652,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.075
1,0.024639,0.024639,0.024639,0.024639,0.024639,0.024639,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.076
1,0.02463,0.02463,0.02463,0.02463,0.02463,0.02463,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.077
1,0.024625,0.024625,0.024625,0.024625,0.024625,0.024625,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.078
