"N","min(C)","q1(C)","med(C)","q3(C)","max(C)","avg(C)","std(C)","min(Area)","q1(Area)","med(Area)","q3(Area)","max(Area)","avg(Area)","std(Area)","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0.12498,0.12498,0.12498,0.12498,0.12498,0.12498,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.038
1,0.12497,0.12497,0.12497,0.12497,0.12497,0.12497,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0385
1,0.12494,0.12494,0.12494,0.12494,0.12494,0.12494,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.039
1,0.1249,0.1249,0.1249,0.1249,0.1249,0.1249,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0395
1,0.12484,0.12484,0.12484,0.12484,0.12484,0.12484,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.04
1,0.12477,0.12477,0.12477,0.12477,0.12477,0.12477,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0405
1,0.12469,0.12469,0.12469,0.12469,0.12469,0.12469,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.041
1,0.1246,0.1246,0.1246,0.1246,0.1246,0.1246,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0415
1,0.1245,0.1245,0.1245,0.1245,0.1245,0.1245,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.042
1,0.12438,0.12438,0.12438,0.12438,0.12438,0.12438,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0425
1,0.12426,0.12426,0.12426,0.12426,0.12426,0.12426,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.043
1,0.12413,0.12413,0.12413,0.12413,0.12413,0.12413,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0435
1,0.124,0.124,0.124,0.124,0.124,0.124,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.044
1,0.12387,0.12387,0.12387,0.12387,0.12387,0.12387,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0445
1,0.12374,0.12374,0.12374,0.12374,0.12374,0.12374,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.045
1,0.12361,0.12361,0.12361,0.12361,0.12361,0.12361,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0455
1,0.12348,0.12348,0.12348,0.12348,0.12348,0.12348,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.046
1,0.12335,0.12335,0.12335,0.12335,0.12335,0.12335,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0465
1,0.12323,0.12323,0.12323,0.12323,0.12323,0.12323,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.047
1,0.12311,0.12311,0.12311,0.12311,0.12311,0.12311,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0475
1,0.123,0.123,0.123,0.123,0.123,0.123,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.048
1,0.1229,0.1229,0.1229,0.1229,0.1229,0.1229,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0485
1,0.1228,0.1228,0.1228,0.1228,0.1228,0.1228,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.049
1,0.1227,0.1227,0.1227,0.1227,0.1227,0.1227,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0495
1,0.12261,0.12261,0.12261,0.12261,0.12261,0.12261,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.05
1,0.12252,0.12252,0.12252,0.12252,0.12252,0.12252,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0505
1,0.12243,0.12243,0.12243,0.12243,0.12243,0.12243,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.051
1,0.12233,0.12233,0.12233,0.12233,0.12233,0.12233,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0515
1,0.12224,0.12224,0.12224,0.12224,0.12224,0.12224,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.052
1,0.12215,0.12215,0.12215,0.12215,0.12215,0.12215,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0525
1,0.12206,0.12206,0.12206,0.12206,0.12206,0.12206,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.053
1,0.12198,0.12198,0.12198,0.12198,0.12198,0.12198,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0535
1,0.12191,0.12191,0.12191,0.12191,0.12191,0.12191,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.054
1,0.12184,0.12184,0.12184,0.12184,0.12184,0.12184,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0545
1,0.12177,0.12177,0.12177,0.12177,0.12177,0.12177,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.055
1,0.12172,0.12172,0.12172,0.12172,0.12172,0.12172,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0555
1,0.12168,0.12168,0.12168,0.12168,0.12168,0.12168,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.056
1,0.12163,0.12163,0.12163,0.12163,0.12163,0.12163,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0565
1,0.12159,0.12159,0.12159,0.12159,0.12159,0.12159,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.057
1,0.12155,0.12155,0.12155,0.12155,0.12155,0.12155,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0575
1,0.12151,0.12151,0.12151,0.12151,0.12151,0.12151,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.058
1,0.12147,0.12147,0.12147,0.12147,0.12147,0.12147,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0585
1,0.12142,0.12142,0.12142,0.12142,0.12142,0.12142,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.059
1,0.12138,0.12138,0.12138,0.12138,0.12138,0.12138,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0595
1,0.12134,0.12134,0.12134,0.12134,0.12134,0.12134,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.06
1,0.1213,0.1213,0.1213,0.1213,0.1213,0.1213,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0605
1,0.12127,0.12127,0.12127,0.12127,0.12127,0.12127,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.061
