"div","u","v","p","dx","dy","T","phase","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00015106,3.2849e-05,-1.9516,-34.562,9.6214e-10,-6.3412e-06,800.7,0,1,0.58003,0.5,0.57998,0
0.00011366,8.3167e-06,-1.9605,-45.993,9.2086e-10,-6.0782e-06,800.56,0,1,0.59003,0.5,0.58998,0
7.6185e-05,-1.6262e-05,-1.9695,-57.425,8.7958e-10,-5.8151e-06,800.42,0,1,0.60003,0.5,0.59998,0
0.00010093,-1.2404e-07,-1.9756,-68.84,8.4268e-10,-5.5781e-06,800.29,0,1,0.61003,0.5,0.60998,0
0.00012567,1.6014e-05,-1.9818,-80.256,8.0578e-10,-5.341e-06,800.16,0,1,0.62003,0.5,0.61998,0
0.00012327,1.4301e-05,-1.9858,-91.672,7.7072e-10,-5.1151e-06,800.05,0,1,0.63003,0.5,0.62998,0
9.3616e-05,-5.3428e-06,-1.9878,-103.09,7.3752e-10,-4.9003e-06,799.95,0,1,0.64003,0.5,0.63998,0
6.3905e-05,-2.4987e-05,-1.9897,-114.5,7.0432e-10,-4.6855e-06,799.86,0,1,0.65003,0.5,0.64998,0
8.4327e-05,-4.3898e-05,-1.9882,-126.02,6.7425e-10,-4.4897e-06,799.89,0,1,0.66003,0.5,0.65999,0
0.00010475,-6.281e-05,-1.9868,-137.53,6.4418e-10,-4.2938e-06,799.92,0,1,0.67003,0.5,0.66999,0
0.00010329,-8.0485e-05,-1.982,-149.04,6.1543e-10,-4.1061e-06,799.93,0,1,0.68003,0.5,0.67999,0
7.9875e-05,-9.6918e-05,-1.974,-160.56,5.8802e-10,-3.9265e-06,799.91,0,1,0.69003,0.5,0.68999,0
5.642e-05,-0.0001134,-1.966,-172.07,5.606e-10,-3.7469e-06,799.89,0,1,0.70003,0.5,0.69999,0
7.3053e-05,-8.2113e-05,-1.9536,-183.78,5.3545e-10,-3.5813e-06,799.91,0,1,0.71003,0.5,0.70999,0
8.9685e-05,-5.083e-05,-1.9412,-195.49,5.1029e-10,-3.4156e-06,799.94,0,1,0.72003,0.5,0.71999,0
8.8908e-05,-2.9656e-05,-1.924,-207.21,4.8609e-10,-3.2559e-06,799.87,0,1,0.73003,0.5,0.72999,0
7.066e-05,-1.8628e-05,-1.9018,-218.92,4.6285e-10,-3.1022e-06,799.71,0,1,0.74003,0.5,0.73999,0
5.2387e-05,-7.5668e-06,-1.8796,-230.63,4.3961e-10,-2.9484e-06,799.54,0,1,0.75003,0.5,0.74999,0
6.5656e-05,-3.772e-05,-1.8525,-242.82,4.18e-10,-2.8049e-06,799.97,0,1,0.76003,0.5,0.75999,0
7.8925e-05,-6.7874e-05,-1.8254,-255.01,3.9638e-10,-2.6614e-06,800.4,0,1,0.77003,0.5,0.76999,0
7.8659e-05,-0.00012908,-1.7926,-267.2,3.7546e-10,-2.5222e-06,800.17,0,1,0.78003,0.5,0.77999,0
6.482e-05,-0.00022143,-1.7538,-279.38,3.5523e-10,-2.3873e-06,799.29,0,1,0.79003,0.5,0.78999,0
5.0981e-05,-0.00031378,-1.7151,-291.57,3.35e-10,-2.2525e-06,798.4,0,1,0.80004,0.5,0.79999,0
6.1205e-05,-0.00065727,-1.6705,-304.54,3.1593e-10,-2.125e-06,801.64,0,1,0.81004,0.5,0.80999,0
7.1445e-05,-0.0010009,-1.6259,-317.51,2.9687e-10,-1.9976e-06,804.88,0,1,0.82004,0.5,0.81999,0
7.1594e-05,-0.0016679,-1.5696,-330.48,2.7828e-10,-1.8732e-06,811.19,0,1,0.83004,0.5,0.82999,0
6.1629e-05,-0.002659,-1.5015,-343.45,2.6019e-10,-1.7519e-06,820.58,0,1,0.84004,0.5,0.83999,0
5.1655e-05,-0.0036514,-1.4334,-356.42,2.4209e-10,-1.6306e-06,830.01,0,1,0.85004,0.5,0.84999,0
5.9122e-05,-0.0019486,-1.3637,-370.82,2.2479e-10,-1.5145e-06,756.88,0,1,0.86004,0.5,0.85999,0
6.6589e-05,-0.0002459,-1.2939,-385.21,2.075e-10,-1.3983e-06,683.75,0,1,0.87004,0.5,0.86999,0
6.7101e-05,0.0011133,-1.2106,-399.61,1.9052e-10,-1.2842e-06,580.75,0,1,0.88004,0.5,0.87999,0
6.0646e-05,0.0021285,-1.1136,-414,1.7387e-10,-1.1722e-06,447.83,0,1,0.89004,0.5,0.89,0
5.4188e-05,0.0031444,-1.0166,-428.4,1.5722e-10,-1.0602e-06,314.88,0,1,0.90004,0.5,0.9,0
5.9068e-05,0.0021356,-0.92431,-425.16,1.4107e-10,-9.5141e-07,253.39,0,1,0.91004,0.5,0.91,0
6.3948e-05,0.0011268,-0.83204,-421.92,1.2492e-10,-8.4262e-07,191.9,0,1,0.92004,0.5,0.92,0
6.4805e-05,0.00058855,-0.72946,-418.68,1.0895e-10,-7.3503e-07,143.93,0,1,0.93004,0.5,0.93,0
6.1636e-05,0.00052131,-0.61657,-415.44,9.3173e-11,-6.2863e-07,109.49,0,1,0.94004,0.5,0.94,0
5.8466e-05,0.00045415,-0.50368,-412.21,7.7392e-11,-5.2223e-07,75.057,0,1,0.95004,0.5,0.95,0
6.088e-05,-0.00012556,-0.3806,-411.52,6.1853e-11,-4.1739e-07,59.722,0,1,0.96004,0.5,0.96,0
6.3294e-05,-0.00070527,-0.25753,-410.84,4.6315e-11,-3.1256e-07,44.387,0,1,0.97004,0.5,0.97,0
6.4501e-05,-0.00079617,-0.15679,-410.15,3.0837e-11,-2.0811e-07,33.375,0,1,0.98004,0.5,0.98,0
6.4501e-05,-0.00039809,-0.078394,-409.47,1.5418e-11,-1.0406e-07,26.688,0,1,0.99004,0.5,0.99,0
6.4501e-05,-2.2097e-18,-4.3516e-16,-408.78,8.5586e-26,-5.7761e-22,20,0,1,1,0.5,1,0
